scenario,rcp_scenario,target_year,wildfire_outage_rate,flood_outage_rate,slr_capacity_derate,compound_multiplier,fwi_index,flood_return_period_yr,slr_meters,data_source,literature_citation,notes
baseline,current,2024,0.000550,0.000030,0.000000,1.00,20.0,100.0,0.00,Korea literature (Kim et al 2025 + Kang & Lee 2024),"[Kim et al 2025] DOI:10.1007/s11069-025-07169-4; [Kang & Lee 2024] DOI:10.3390/w16202987",Korea-specific baseline: wildfire 0.055% + flood 0.003%
moderate_physical,RCP4.5,2040,0.000743,0.000035,0.000176,1.00,23.0,80.0,0.08,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 1.35x wildfire mult; [CMIP6] 0.08m SLR RCP4.5 2040",RCP4.5 mid-century Korea-specific projections
moderate_physical_2024,RCP4.5,2024,0.000550,0.000030,0.000000,1.00,20.0,100.0,0.00,Korea literature (Kim et al 2025 + Kang & Lee 2024),"Same as baseline, starting point for RCP4.5 trajectory",Starting point same as baseline
moderate_physical_2030,RCP4.5,2030,0.000660,0.000033,0.000110,1.00,21.0,95.0,0.05,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 1.2x wildfire mult; [CMIP6] 0.05m SLR RCP4.5 2030",Early RCP4.5 trajectory
moderate_physical_2040,RCP4.5,2040,0.000743,0.000035,0.000176,1.00,23.0,80.0,0.08,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 1.35x wildfire mult; [CMIP6] 0.08m SLR",RCP4.5 mid-century
moderate_physical_2050,RCP4.5,2050,0.000825,0.000038,0.000264,1.05,25.0,70.0,0.12,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 1.5x wildfire; [KSCCR] +25% flood; [CMIP6] 0.12m SLR",RCP4.5 2050 with mild compound
moderate_physical_2060,RCP4.5,2060,0.000935,0.000040,0.000352,1.05,27.0,60.0,0.16,WWA 2025 + KSCCR 2024 + CMIP6 extrapolation,"[WWA 2025] 1.7x wildfire; [CMIP6] 0.16m SLR extrapolated",Late RCP4.5 trajectory
high_physical,RCP8.5,2040,0.000908,0.000041,0.000264,1.05,27.0,65.0,0.12,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 1.65x wildfire; [KSCCR] +38% flood; [CMIP6] 0.12m SLR",RCP8.5 mid-trajectory with mild compound
high_physical_2024,RCP8.5,2024,0.000550,0.000030,0.000000,1.00,20.0,100.0,0.00,Korea literature (Kim et al 2025 + Kang & Lee 2024),"Same as baseline, RCP divergence begins after 2030",Starting point same as baseline
high_physical_2030,RCP8.5,2030,0.000715,0.000039,0.000132,1.00,24.0,75.0,0.06,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 1.3x wildfire; [KSCCR] +29% flood; [CMIP6] 0.06m SLR",RCP8.5 early divergence
high_physical_2040,RCP8.5,2040,0.000908,0.000041,0.000264,1.05,27.0,65.0,0.12,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 1.65x; [KSCCR] +38%; [CMIP6] 0.12m SLR",RCP8.5 accelerating
high_physical_2050,RCP8.5,2050,0.001100,0.000044,0.000396,1.10,32.0,50.0,0.18,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 2.0x wildfire; [KSCCR] +46% flood; [CMIP6] 0.18m SLR",RCP8.5 mid-century with moderate compound
high_physical_2060,RCP8.5,2060,0.001375,0.000054,0.000660,1.15,38.0,40.0,0.30,WWA 2025 + KSCCR 2024 + CMIP6,"[WWA 2025] 2.5x wildfire; [KSCCR] +80% flood; [CMIP6] 0.30m SLR",RCP8.5 late-century with elevated compound
extreme_physical,RCP8.5,2050,0.001650,0.000066,0.000594,1.15,42.0,35.0,0.27,90th percentile of RCP8.5 + Nature Comm 2024,"[Nature Comm 2024] asset-level risk 70-82% underestimated at mean",90th percentile RCP8.5 2050 (1.5x above mean projections)
extreme_physical_2050,RCP8.5,2050,0.001650,0.000066,0.000594,1.15,42.0,35.0,0.27,90th percentile of RCP8.5 + Nature Comm 2024,"[Nature Comm 2024] 82% underestimation of tail risks at asset level",90th percentile: wildfire 3.0x base flood 2.2x base
extreme_physical_2060,RCP8.5,2060,0.002200,0.000079,0.001386,1.25,50.0,25.0,0.63,90th percentile of RCP8.5 + CMIP6 high-end,"[CMIP6] 0.63m SLR high-end 2100 pulled to 2060; [WWA] 4.0x wildfire",90th percentile late-century approaching max
compound_extreme,RCP8.5,2050,0.001650,0.000066,0.000792,1.25,45.0,30.0,0.36,Concurrent hazard scenario + Zscheischler 2018,"[Zscheischler 2018] concurrent hazard framework; maximum 1.25x compound for single asset",Designed concurrent wildfire+flood+SLR scenario
compound_catastrophic,RCP8.5,2060,0.002200,0.000158,0.001386,1.25,55.0,15.0,0.63,Maximum literature scenario + Zscheischler 2018,"[Zscheischler 2018] max 1.25x for single asset; [CMIP6] 0.63m SLR high-end; [KSCCR] +164% flood",Worst-case within literature bounds (Korea-specific)
