param_name,value,unit,description
capacity_mw,2100,MW,Total capacity (2 units x 1050MW)
capacity_factor,0.60,decimal,Base load capacity factor
efficiency,0.39,decimal,Supercritical efficiency (3.412/8.8)
fuel_cost_per_mwh,45.0,USD/MWh,Approximate coal cost
variable_opex,5.0,USD/MWh,Variable O&M
fixed_opex_per_kw,35.0,USD/kW-yr,Fixed O&M
variable_opex_per_mwh,4.5,USD/MWh,Variable O&M per MWh (alternative)
total_capex_million,3550,USD Million,Total project cost (4.9T KRW at 1380 KRW/USD Feb 2026)
construction_years,5,years,Construction duration
debt_fraction,0.80,decimal,Estimated debt financing share
equity_fraction,0.20,decimal,Estimated equity share
debt_interest_rate,0.05,decimal,Recent bond yield (6.1%)
debt_schedule_file,debt_repayment_schedule.csv,filename,Custom repayment profile
debt_tenor_years,30,years,Loan repayment period (삼척블루파워 대출약정서)
amortization_type,sculpted,type,Debt amortization method: annuity or sculpted
target_dscr,1.0,ratio,Target DSCR for sculpted amortization (PWYC: DS = CFADS)
grace_period_years,0,years,Interest-only grace period (없음)
risk_free_rate,0.035,decimal,Korea 10Y Treasury
market_risk_premium,0.06,decimal,Korea Equity Risk Premium
beta,1.2,decimal,Utility sector beta (adjusted for coal risk)
corporate_tax_rate,0.25,decimal,Korea Corporate Tax Rate (25% effective Jan 2026)
tax_rate,0.25,decimal,Korea Corporate Tax Rate (alias)
useful_life,30,years,Economic life
operating_years,40,years,Total expected operating life
depreciation_years,30,years,Depreciation schedule (삼척블루파워 사업보고서 - 구축물 내용연수 30년)
inflation_rate,0.02,decimal,Long-term inflation target
power_price_per_mwh,80.0,USD/MWh,Wholesale electricity price
heat_rate_mmbtu_mwh,8.8,MMBtu/MWh,Heat rate for supercritical coal plant
fuel_price_per_mmbtu,5.74,USD/MMBtu,Coal fuel price
emissions_tCO2_per_mwh,0.82,tCO2/MWh,Carbon emission intensity (SC coal at 8.8 heat rate)
discount_rate,0.08,decimal,Project discount rate for NPV
