param_name,value,unit,description
start_year,2025,year,First calendar year of plant operations
hours_per_year,8760,hours,Hours in a calendar year
base_rate,0.0675,decimal,Base interest rate used in cost-of-debt calculations in the dashboard pipeline
equity_premium_per_notch,0.005,decimal,Equity cost premium per credit rating notch deterioration (0.5% per notch downgrade)
baseline_equity_rate,0.12,decimal,Baseline unleveraged cost of equity assuming no climate transition risk (12%)
cash_ratio,0.10,decimal,Cash-and-equivalents buffer as fraction of annual EBITDA for credit metric estimation
equity_slope,0.8,decimal,Equity premium scaling factor: equity_premium_pct = expected_loss_pct * equity_slope
spread_slope,50,bps_per_pct,Debt spread increase per percentage point of expected loss (reduced-form / linear model)
baseline_spread_bps,150,bps,Baseline credit spread corresponding to A-rated corporate bond (A = 150 bps)
estimated_debt_rate,0.05,decimal,Fallback interest rate used to estimate debt service when actual rate is unknown
estimated_debt_tenor,20,years,Fallback debt tenor used to estimate debt service when actual tenor is unknown
counterfactual_rating,A,rating,Counterfactual baseline credit rating assumed in the absence of climate transition risk
policy_industry_rating,AA,rating,Fixed sector/policy risk rating for private power generation under KIS methodology
coverage_infinity_sentinel,99,times,Sentinel value substituted for EBITDA/Interest when interest expense is zero (division by zero guard)
dscr_post_debt_fallback,1.5,ratio,Fallback DSCR used in year-by-year rating when actual DSCR is undefined (post-debt-maturity years)
ebitda_coverage_fallback_dscr,2.0,ratio,Fallback DSCR estimate when no debt service info is available and coverage ratio exceeds sentinel
carbon_price_years,2025-2030-2040-2050,years,Anchor years for carbon price interpolation; matches column names in data/transition/scenarios.csv
debt_midpoint_ratio,0.5,decimal,Average outstanding debt balance as fraction of initial debt; approximates midpoint of linear repayment schedule
debt_to_assets_fallback,100.0,pct,Fallback debt-to-assets ratio when total assets is zero (100% = fully debt-financed worst case)
end_year,2100,year,Last modelled year; matches latest anchor year in data/physical/literature_data.csv climate factors
ebitda_chart_end_year,2050,year,X-axis upper bound for the EBITDA trajectory chart on the overview screen (display parameter only)
physical_anchor_years,2025-2030-2050-2100,years,Snapshot anchor years shown in the physical risk table; matches climate factor data anchors in literature_data.csv
days_per_year,365,days,Calendar days per year; used to convert heatwave event-days to an annual fraction
consecutive_loss_years_d,8,years,Threshold for consecutive loss years that triggers a D (default) rating override in the scoring model
rating_base_score,60,score,Starting score in the simplified JS credit scoring model before metric deltas are applied
